title	text
https://www.whitehouse.gov/administration/cabinet/	Joe Biden is President
https://www.whitehouse.gov/administration/cabinet/	Kamala Harris is Vice President
https://www.whitehouse.gov/administration/cabinet/	Antony Blinken is Secretary of State
https://www.whitehouse.gov/administration/cabinet/	Dr. Janet Yellen is Secretary of the Treasury
https://www.whitehouse.gov/administration/cabinet/	Lloyd Austin is Secretary of Defense
https://www.whitehouse.gov/administration/cabinet/	Merrick Garland is Attorney General
https://www.whitehouse.gov/administration/cabinet/	Deb Haaland is Secretary of the Interior
https://www.whitehouse.gov/administration/cabinet/	Tom Vilsack is Secretary of Agriculture
https://www.whitehouse.gov/administration/cabinet/	Gina Raimondo is Secretary of Commerce
https://www.whitehouse.gov/administration/cabinet/	Julie Su is Acting Secretary of Labor
https://www.whitehouse.gov/administration/cabinet/	Xavier Becerra is Secretary of Health and Human Services
https://www.whitehouse.gov/administration/cabinet/	Marcia Fudge is Secretary of Housing and Urban Development
https://www.whitehouse.gov/administration/cabinet/	Pete Buttigieg is Secretary of Transportation
https://www.whitehouse.gov/administration/cabinet/	Jennifer Granholm is Secretary of Energy
https://www.whitehouse.gov/administration/cabinet/	Dr. Miguel Cardona is Secretary of Education
https://www.whitehouse.gov/administration/cabinet/	Denis McDonough is Secretary of Veterans Affairs
https://www.whitehouse.gov/administration/cabinet/	Alejandro Mayorkas is Secretary of Homeland Security
https://www.whitehouse.gov/administration/cabinet/	Michael Regan is ADMINISTRATOR OF THE ENVIRONMENTAL PROTECTION AGENCY
https://www.whitehouse.gov/administration/cabinet/	Avril Haines is Director of National Intelligence
https://www.whitehouse.gov/administration/cabinet/	Katherine Tai is United States Trade Representative
https://www.whitehouse.gov/administration/cabinet/	Linda Thomas-Greenfield is United States Ambassador to the United Nations
https://www.whitehouse.gov/administration/cabinet/	Jared Bernstein  is Chair of the Council of Economic Advisers
https://www.whitehouse.gov/administration/cabinet/	Isabel Guzman is Administrator of the Small Business Administration
https://www.whitehouse.gov/administration/cabinet/	Shalanda Young  is Director of the office of management and budget
https://www.whitehouse.gov/administration/cabinet/	Dr. Arati Prabhakar is Director of the Office of Science and Technology Policy
https://www.whitehouse.gov/administration/cabinet/	William Burns is Director of the Central Intelligence Agency
https://www.whitehouse.gov/administration/cabinet/	Jeff Zients is Chief of Staff
